Movie,IMDB Rating,Genre
Beautiful Boy,7.3,Drama
The Martian,8,Sci Fi/Drama/Adventure
In the Heights,7.5,Drama/Musical
Daddy Day Care,5.6,Comedy
The Dark Knight,9,Action/Crime/Drama
Forrest Gump,8.8,Biography
Spirited Away,8.6,Adventure/Fantasy
The Hate you Give,7.5,Drama/Crime
The Dark Knight,9,Action/Crime/Drama
Interstellar,8.6,Sci-Fi/Adventure
Scarface,8.3,Drama/Crime
The Greatest Showman,7.6,Biography/Musical
Chef,7.3,Comedy
Up,8.2,Comedy/Adventure
I Want to Eat Your Pancreas,8,Drama
The Dark Knight,9,Action/Crime/Drama
The Shawshank Redemption,9.3,Drama
Who Am I: No System Is Safe,7.5,Crime/Drama/Mystery
A Silent Voice,8.2,Drama/Romance
Downton Abbey,7.4,Drama/Romance
The Martian,8.5,Science Fiction
Your Name,8.4,Fantasy / Romance
The Dark Knight,9,Action/Crime/Drama
Shutter Island,8.2,mystery / Thriller
The Hate You Give,7.5,Drama
